st,en,popularity
31247,31258,78744
31249,31258,69514
31613,31619,66400
31623,31631,57096
31247,31247,54033
31248,31258,52624
31200,31229,49037
31200,31201,48913
31248,31248,46765
31622,31623,46040
31615,31623,43078
31614,31623,41690
31611,31623,41407
31201,31229,40275
31247,31249,36454
31258,31258,36376
31612,31623,35365
31247,31248,34532
31613,31622,34480
31240,31249,33439
31104,31121,33378
31240,31258,32038
31101,31200,31075
31616,31623,30008
31606,31613,30008
31619,31623,29213
31240,31240,29067
31214,31229,27614
31201,31214,27421
31104,31106,27334
31108,31244,26333
31208,31623,26324
31101,31201,26216
31217,31623,25046
31258,31290,24128
31623,31632,23953
31243,31247,22889
31244,31623,22862
31200,31241,22166
31200,31202,22165
31400,31602,21916
31200,31214,21813
31243,31623,21494
31213,31214,21371
31618,31623,21132
31610,31619,20875
31248,31249,20350
31288,31288,20201
31104,31107,19917
31301,31303,19914
31101,31116,19819
31200,31246,19776
31200,31203,19706
31247,31289,19657
31505,31603,19603
31218,31623,19527
31408,32026,19459
31247,31288,19403
31302,31303,19395
31623,31640,19249
31603,31624,19180
31104,31200,19134
31613,31626,19024
31240,31247,18989
31249,31249,18958
31101,31203,18953
31603,31623,18887
31110,31214,18315
31258,31288,18290
31110,31200,17892
31110,31201,17857
31607,31613,17716
31108,31628,17620
31223,31241,17599
31222,31258,17580
31247,31271,17507
31613,31623,17460
31243,31258,17363
31077,31258,17359
31300,31310,17285
31107,31602,16893
31213,31229,16755
31613,31628,16724
31200,31236,16584
31014,31236,16264
31272,31623,16248
31600,31603,16183
31401,31602,16073
31273,31273,16047
31014,31225,16035
31245,31503,15999
31288,31289,15967
31004,31005,15938
31623,31628,15904
31248,31289,15837
31101,31214,15769
31248,31288,15723
31611,31616,15721
31613,31629,15528
31109,31229,15510
31017,31030,15318
31108,31609,15303
31235,31235,15275
31610,31623,15172
31200,31205,15140
31200,31237,15037
31290,31290,15020
31613,31625,15013
31245,31506,14999
31116,31201,14997
31289,31289,14898
31103,31104,14789
31101,31110,14754
31222,31247,14681
31101,31241,14678
31305,31307,14483
31101,31105,14396
31110,31229,14388
31613,31618,14292
31600,31620,14258
31247,31272,14216
31116,31200,14207
31219,31623,14186
31235,31258,14135
31111,31229,14120
31202,31245,14074
31321,31321,14051
31200,31225,14006
31203,31223,13956
31215,31258,13752
31612,31613,13751
31201,31266,13740
31223,31266,13707
31200,31312,13706
31233,31267,13680
31508,31627,13652
31269,31623,13635
31512,31627,13594
31200,31200,13588
31108,31634,13583
31104,31105,13570
31303,31308,13490
31114,31200,13411
31222,31222,13377
31237,31246,13372
31314,31314,13372
31103,31200,13350
31104,31602,13350
31212,31229,13291
31258,31277,13166
31229,31239,13147
31213,31267,13059
31215,31215,13020
31617,31623,12990
31623,31633,12951
31109,31201,12934
31227,31600,12899
31214,31239,12835
31219,31258,12792
31605,31623,12773
31603,31616,12752
31289,31290,12669
31228,31600,12664
31111,31201,12613
31108,31208,12481
31258,31271,12435
31044,31048,12351
31200,31212,12330
31230,31600,12315
31228,31624,12272
31611,31615,12253
31605,31613,12249
31201,31234,12203
31109,31118,12121
31200,31257,12112
31302,31305,12103
31249,31290,12051
31200,31215,12004
31623,31627,11989
31217,31217,11979
31108,31218,11968
31214,31233,11938
31212,31257,11913
31243,31248,11821
31201,31212,11814
31231,31258,11781
31623,31634,11719
31243,31243,11704
31248,31290,11665
31610,31622,11665
31042,31048,11655
31212,31241,11630
31628,31634,11623
31247,31290,11591
31201,31278,11556
31201,31245,11555
31229,31268,11530
31234,31237,11470
31036,31037,11428
31605,31619,11416
31623,31625,11414
31103,31107,11364
31101,31202,11325
31101,31602,11323
31200,31255,11296
31203,31229,11294
31101,31229,11292
31043,31047,11274
31204,31257,11268
31212,31246,11183
31002,31249,11159
31607,31619,11132
31101,31109,11035
31102,31602,11030
31202,31214,11020
31201,31239,11006
31247,31623,10998
31628,31643,10984
31104,31110,10978
31047,31083,10906
31604,31624,10885
31228,31230,10880
31113,31200,10808
31288,31290,10808
31201,31241,10798
31610,31612,10780
31042,31047,10777
31243,31271,10768
31232,31624,10750
31271,31271,10740
31024,31039,10739
31234,31257,10716
31601,31630,10687
31223,31600,10678
31213,31241,10598
31024,31035,10594
31235,31247,10585
31614,31616,10579
31214,31241,10574
31202,31241,10560
31115,31602,10548
31611,31613,10546
31109,31202,10545
31107,31200,10530
31111,31200,10523
31248,31271,10516
31200,31304,10512
31240,31248,10436
31219,31247,10429
31109,31200,10422
31212,31214,10396
31101,31114,10372
31249,31289,10340
31103,31201,10330
31221,31229,10288
31228,31241,10284
31108,31108,10176
31618,31619,10147
31113,31121,10135
31229,31241,10131
31110,31212,10085
31248,31623,10057
31225,31237,10055
31201,31202,10051
31225,31225,10050
31608,31613,10030
31229,31233,10016
31258,31321,10016
31214,31221,10010
31201,31223,10008
31201,31268,10004
31228,31238,9988
31108,31243,9969
31244,31628,9921
31102,31111,9898
31232,31600,9879
31201,31221,9841
31208,31613,9826
31119,31201,9799
31124,31126,9781
31239,31241,9780
31114,31121,9764
31108,31613,9759
31226,31236,9725
31230,31265,9696
31125,31201,9669
31203,31228,9664
31212,31237,9659
31200,31602,9653
31119,31200,9625
31613,31630,9584
31623,31639,9575
31244,31624,9554
31620,31623,9553
31236,31237,9548
31101,31103,9516
31289,31321,9469
31101,31104,9447
31230,31266,9439
31504,31511,9437
31608,31628,9436
31200,31245,9413
31116,31214,9410
31271,31623,9382
31229,31234,9370
31611,31619,9355
31231,31623,9346
