st,en,popularity
31000,31002,993
31000,31003,1016
31000,31004,475
31000,31005,2231
31000,31006,1754
31000,31009,1385
31000,31010,1317
31000,31011,1939
31000,31012,793
31000,31013,1365
31000,31014,391
31000,31015,53
31000,31016,12
31000,31017,5
31000,31018,9
31000,31019,12
31000,31020,5
31000,31021,13
31000,31022,8
31000,31023,8
31000,31024,5
31000,31025,2
31000,31026,19
31000,31027,4
31000,31029,5
31000,31031,8
31000,31032,8
31000,31033,12
31000,31034,4
31000,31035,4
31000,31036,2
31000,31037,14
31000,31038,2
31000,31039,7
31000,31040,6
31000,31041,212
31000,31042,167
31000,31043,45
31000,31044,49
31000,31045,74
31000,31046,52
31000,31047,29
31000,31048,36
31000,31049,4
31000,31051,1
31000,31052,590
31000,31053,63
31000,31054,4
31000,31055,192
31000,31056,54
31000,31057,69
31000,31058,3
31000,31059,37
31000,31060,148
31000,31061,11
31000,31062,127
31000,31063,16
31000,31064,387
31000,31065,5
31000,31066,102
31000,31067,52
31000,31068,5
31000,31069,2
31000,31070,7
31000,31071,1113
31000,31072,9
31000,31073,22
31000,31074,4
31000,31075,30
31000,31076,42
31000,31077,86
31000,31078,12
31000,31079,1
31000,31080,7
31000,31081,12
31000,31082,6
31000,31083,61
31000,31084,47
31000,31085,54
31000,31086,52
31000,31087,45
31000,31088,132
31000,31089,2
31000,31090,134
31000,31091,249
31000,31093,2
31000,31095,54
31000,31096,14
31000,31097,57
31000,31098,39
31000,31099,14
31000,31100,5
31000,31101,68
31000,31102,3
31000,31103,8
31000,31104,4
31000,31105,32
31000,31106,1
31000,31107,8
31000,31108,28
31000,31109,1
31000,31110,7
31000,31111,9
31000,31112,15
31000,31113,20
31000,31114,2
31000,31116,12
31000,31117,6
31000,31119,4
31000,31120,1
31000,31121,2
31000,31122,5
31000,31123,2
31000,31124,5
31000,31125,3
31000,31126,4
31000,31127,45
31000,31128,5
31000,31129,46
31000,31132,1
31000,31200,21
31000,31201,17
31000,31202,4
31000,31203,9
31000,31204,43
31000,31205,105
31000,31206,17
31000,31207,1
31000,31208,13
31000,31209,12
31000,31211,50
31000,31212,13
31000,31213,19
31000,31214,11
31000,31215,77
31000,31216,26
31000,31217,124
31000,31218,52
31000,31219,68
31000,31220,84
31000,31221,21
31000,31222,79
31000,31223,7
31000,31224,10
31000,31225,89
31000,31226,1
31000,31227,20
31000,31228,25
31000,31229,24
31000,31230,144
31000,31231,81
31000,31232,34
31000,31233,41
31000,31234,10
31000,31235,76
31000,31236,44
31000,31237,19
31000,31238,42
31000,31239,3
31000,31240,109
31000,31241,15
31000,31242,47
31000,31243,62
31000,31244,19
