st,en,popularity
31000,31001,757
31000,31002,996
31000,31003,1023
31000,31004,481
31000,31005,2257
31000,31006,1786
31000,31007,1126
31000,31008,1289
31000,31009,1398
31000,31010,1323
31000,31011,1973
31000,31012,794
31000,31013,1387
31000,31014,391
31000,31015,53
31000,31016,13
31000,31017,5
31000,31018,9
31000,31019,12
31000,31020,5
31000,31021,13
31000,31022,9
31000,31023,8
31000,31024,7
31000,31025,2
31000,31026,20
31000,31027,6
31000,31029,5
31000,31031,8
31000,31032,8
31000,31033,13
31000,31034,4
31000,31035,4
31000,31036,2
31000,31037,14
31000,31038,2
31000,31039,7
31000,31040,6
31000,31041,211
31000,31042,169
31000,31043,48
31000,31044,50
31000,31045,78
31000,31046,54
31000,31047,29
31000,31048,37
31000,31049,4
31000,31051,1
31000,31052,607
31000,31053,64
31000,31054,6
31000,31055,202
31000,31056,59
31000,31057,70
31000,31058,4
31000,31059,39
31000,31060,148
31000,31061,12
31000,31062,133
31000,31063,18
31000,31064,408
31000,31065,5
31000,31066,103
31000,31067,52
31000,31068,5
31000,31069,4
31000,31070,7
31000,31071,1175
31000,31072,9
31000,31073,23
31000,31074,4
31000,31075,32
31000,31076,50
31000,31077,87
31000,31078,12
31000,31079,1
31000,31080,7
31000,31081,13
31000,31082,4
31000,31083,61
31000,31084,50
31000,31085,59
31000,31086,54
31000,31087,49
31000,31088,132
31000,31089,3
31000,31090,139
31000,31091,263
31000,31093,1
31000,31095,54
31000,31096,16
31000,31097,57
31000,31098,39
31000,31099,14
31000,31100,5
31000,31101,68
31000,31102,3
31000,31103,8
31000,31104,5
31000,31105,32
31000,31106,1
31000,31107,8
31000,31108,27
31000,31109,1
31000,31110,7
31000,31111,7
31000,31112,19
31000,31113,20
31000,31114,2
31000,31116,12
31000,31117,6
31000,31119,4
31000,31120,1
31000,31121,2
31000,31122,5
31000,31123,2
31000,31124,5
31000,31125,3
31000,31126,4
31000,31127,46
31000,31128,5
31000,31129,45
31000,31132,1
31000,31200,22
31000,31201,19
31000,31202,4
31000,31203,10
31000,31204,43
31000,31205,105
31000,31206,19
31000,31207,1
31000,31208,13
31000,31209,13
31000,31211,52
31000,31212,14
31000,31213,20
31000,31214,11
31000,31215,77
31000,31216,28
31000,31217,122
31000,31218,52
31000,31219,71
31000,31220,84
31000,31221,21
31000,31222,79
31000,31223,7
31000,31224,11
31000,31225,90
31000,31226,1
31000,31227,20
31000,31228,26
31000,31229,25
31000,31230,145
31000,31231,78
31000,31232,34
31000,31233,41
31000,31234,11
31000,31235,75
31000,31236,44
31000,31237,20
31000,31238,42
31000,31239,3
31000,31240,116
31000,31241,15
31000,31242,47
31000,31243,62
31000,31244,19
31000,31246,42
31000,31247,326
31000,31248,113
31000,31249,2057
31000,31250,4
31000,31251,14
31000,31252,16
31000,31253,9
31000,31254,8
31000,31255,1
31000,31256,29
31000,31257,46
31000,31258,1264
31000,31259,19
31000,31260,78
31000,31261,66
31000,31262,14
31000,31263,13
31000,31264,20
31000,31265,11
31000,31266,2
31000,31267,8
31000,31268,21
31000,31269,7
31000,31270,19
31000,31271,23
31000,31272,26
31000,31273,21
31000,31274,5
31000,31275,19
31000,31276,8
31000,31277,24
31000,31278,5
31000,31279,9
31000,31280,2
31000,31282,2
31000,31283,12
31000,31284,17
31000,31285,6
31000,31287,19
31000,31288,36
31000,31289,144
31000,31290,79
31000,31291,7
31000,31292,24
31000,31293,25
31000,31294,42
31000,31295,33
31000,31296,1
31000,31297,11
31000,31298,7
31000,31299,1
31000,31302,3
31000,31303,2
31000,31304,1
31000,31306,5
31000,31307,4
31000,31309,2
31000,31310,1
31000,31312,8
31000,31314,34
31000,31321,96
31000,31322,3
31000,31323,2
31000,31324,5
31000,31325,4
31000,31326,1
31000,31328,8
31000,31400,6
31000,31401,1
31000,31406,1
31000,31419,1
31000,31500,1
31000,31502,3
31000,31503,1
31000,31505,101
31000,31506,2
31000,31517,3
31000,31521,1
31000,31531,1
31000,31600,4
31000,31601,2
31000,31602,11
31000,31603,21
31000,31604,8
31000,31605,6
31000,31606,2
31000,31607,1
31000,31608,3
31000,31609,46
31000,31610,15
31000,31611,3
31000,31612,1
31000,31613,13
31000,31614,3
31000,31615,2
31000,31616,2
31000,31617,3
31000,31618,7
31000,31619,2
31000,31620,19
31000,31621,7
31000,31622,1
31000,31623,23
31000,31624,40
31000,31627,3
31000,31628,10
31000,31629,2
31000,31630,1
31000,31633,21
31000,31634,3
31000,31637,1
31000,31638,5
31000,31641,4
31000,31642,2
31000,31643,6
31000,31646,99
31000,31647,1
31000,31649,2
31000,31650,3
31000,31651,6
31000,31653,2
31000,31654,1
31000,31655,2
31000,31657,1
31000,31662,1
31000,31666,2
31000,31668,2
31000,31672,1
31000,31712,1
31000,31802,1
31000,31900,1
31000,31902,2
31000,31903,9
31000,31904,3
31000,31906,6
31000,31907,8
31000,31908,14
31000,31909,161
31000,31910,19
31000,31912,112
31000,31913,40
31000,31914,2
31000,31915,16
31000,31916,349
31000,31917,24
31000,31918,111
31000,31919,2
31000,31920,1
31000,31921,2
31000,31923,1
31000,31924,3
31000,31925,21
31000,31926,2
31000,31928,3
31000,31929,4
31000,31930,6
31000,31931,9
31000,31933,4
31000,31935,19
31000,31936,70
31000,31938,26
31000,31939,4
31000,31940,1
31000,31941,2
31000,31944,36
31000,31945,1
31000,31947,6
31000,31949,3
31000,31950,35
31000,31958,1
31000,31959,20
31000,31960,4
31000,31968,1
31000,31969,1
31000,31971,1
31000,32002,2
31000,32012,2
31000,32021,1
31000,32036,1
31000,32223,1
31000,32406,1
31000,32415,2
31000,32600,1
31000,32602,1
31000,32606,1
31001,31002,1223
31001,31003,1466
31001,31004,3008
31001,31005,3789
31001,31006,4368
31001,31007,2008
31001,31008,2968
31001,31009,1241
31001,31010,1184
31001,31011,1798
31001,31012,607
31001,31013,2171
31001,31014,366
31001,31015,138
31001,31016,36
31001,31017,8
31001,31018,21
31001,31019,9
31001,31020,3
31001,31021,17
31001,31022,16
31001,31023,12
31001,31024,37
31001,31025,6
31001,31026,29
31001,31027,9
31001,31028,2
31001,31031,12
31001,31032,38
31001,31033,13
31001,31034,5
31001,31035,6
31001,31037,15
31001,31038,1
31001,31039,8
31001,31040,2
31001,31041,225
31001,31042,114
31001,31043,109
31001,31044,37
31001,31045,9
31001,31046,33
31001,31047,64
31001,31048,33
31001,31049,3
31001,31050,6
31001,31051,6
31001,31052,1074
31001,31053,113
31001,31054,15
31001,31055,798
31001,31056,317
31001,31057,156
31001,31058,7
31001,31059,56
31001,31060,215
31001,31061,10
31001,31062,113
31001,31063,22
31001,31064,354
31001,31065,7
31001,31066,121
31001,31067,99
31001,31068,4
31001,31069,3
31001,31070,6
31001,31071,785
31001,31072,2
31001,31073,88
31001,31074,6
31001,31075,49
31001,31076,34
31001,31077,64
31001,31078,4
31001,31079,1
31001,31080,3
31001,31081,84
31001,31082,14
31001,31083,44
31001,31084,52
31001,31085,35
31001,31086,128
31001,31087,68
31001,31088,505
31001,31089,14
31001,31090,169
31001,31091,1470
31001,31092,6
31001,31093,2
31001,31095,49
31001,31096,43
31001,31097,28
31001,31098,14
31001,31099,6
31001,31100,24
31001,31101,17
31001,31102,10
31001,31103,16
31001,31104,5
31001,31105,13
31001,31106,15
31001,31107,10
31001,31108,40
31001,31109,1
31001,31110,16
31001,31111,9
31001,31112,6
31001,31113,1
31001,31114,4
31001,31116,3
31001,31117,2
31001,31118,1
31001,31119,3
31001,31120,1
31001,31121,5
31001,31124,3
31001,31125,3
31001,31126,1
31001,31127,36
31001,31128,2
31001,31129,16
31001,31133,2
31001,31200,67
31001,31201,17
31001,31202,12
31001,31203,15
31001,31204,59
31001,31205,347
31001,31206,28
31001,31208,25
31001,31209,11
31001,31211,103
31001,31212,39
31001,31213,21
31001,31214,11
31001,31215,189
31001,31216,193
31001,31217,280
31001,31218,108
31001,31219,75
31001,31220,185
31001,31221,39
31001,31222,137
31001,31223,60
31001,31224,10
31001,31225,143
31001,31226,4
31001,31227,71
31001,31228,37
31001,31229,18
31001,31230,52
31001,31231,67
31001,31232,47
31001,31233,31
31001,31234,13
31001,31235,417
31001,31236,101
31001,31237,55
31001,31238,193
31001,31239,15
31001,31240,224
31001,31241,19
31001,31242,76
31001,31243,48
31001,31244,17
31001,31245,4
31001,31246,49
31001,31247,448
31001,31248,251
31001,31249,3310
31001,31250,5
31001,31251,7
31001,31252,13
31001,31253,6
31001,31254,73
31001,31255,7
31001,31256,13
31001,31257,66
31001,31258,828
31001,31259,22
31001,31260,78
31001,31261,36
31001,31262,9
31001,31263,13
31001,31264,11
31001,31265,3
31001,31266,3
31001,31267,11
31001,31268,3
31001,31269,12
31001,31270,18
31001,31271,24
31001,31272,7
31001,31273,29
31001,31274,7
31001,31275,38
31001,31276,23
31001,31277,44
31001,31278,4
31001,31281,1
31001,31282,4
31001,31283,5
31001,31284,16
31001,31285,1
31001,31286,4
31001,31287,11
31001,31288,19
31001,31289,87
31001,31290,41
31001,31291,15
31001,31292,53
31001,31293,9
31001,31294,7
31001,31295,32
31001,31296,3
31001,31297,4
31001,31298,3
31001,31300,6
31001,31301,1
31001,31302,5
31001,31303,3
31001,31304,6
31001,31305,3
31001,31306,5
31001,31307,6
31001,31310,2
31001,31312,16
31001,31314,20
31001,31321,28
31001,31323,1
31001,31324,1
31001,31325,1
31001,31327,2
31001,31328,2
31001,31400,4
31001,31401,27
31001,31407,1
31001,31418,1
31001,31503,3
31001,31505,4
31001,31506,2
31001,31509,2
31001,31519,1
31001,31522,1
31001,31600,14
31001,31601,1
31001,31602,133
31001,31603,27
31001,31604,11
31001,31605,13
31001,31606,1
31001,31608,6
31001,31609,66
31001,31610,18
31001,31611,3
31001,31612,2
31001,31613,20
31001,31614,4
31001,31615,2
31001,31616,3
31001,31617,2
31001,31618,11
31001,31619,2
31001,31620,25
31001,31621,13
31001,31622,4
31001,31623,22
31001,31624,16
31001,31625,1
31001,31627,2
31001,31628,8
31001,31633,89
31001,31634,7
31001,31638,1
31001,31640,1
31001,31641,2
31001,31646,100
31001,31647,1
31001,31648,1
31001,31649,1
31001,31650,1
31001,31652,1
31001,31653,1
31001,31655,1
31001,31657,1
31001,31666,2
31001,31707,1
31001,31801,1
31001,31802,1
31001,31804,3
31001,31812,1
31001,31901,2
31001,31902,2
31001,31903,13
31001,31904,3
31001,31906,7
31001,31907,5
31001,31908,10
31001,31909,252
31001,31910,209
31001,31912,163
31001,31913,52
31001,31914,2
31001,31915,4
31001,31916,281
31001,31917,13
31001,31918,78
31001,31920,1
31001,31921,1
31001,31923,4
31001,31925,38
31001,31929,4
31001,31930,2
31001,31931,5
31001,31933,3
31001,31935,7
31001,31936,13
31001,31938,13
31001,31940,1
31001,31941,1
31001,31942,1
31001,31944,41
31001,31945,1
31001,31946,1
31001,31947,1
31001,31949,3
31001,32013,1
31001,32046,2
31001,32048,1
31001,32402,1
31001,32423,1
31001,32604,1
31001,32606,2
31002,31003,3635
31002,31004,1006
31002,31005,3415
31002,31006,3329
31002,31007,3103
31002,31008,4166
31002,31009,7919
31002,31010,5295
31002,31011,3239
31002,31012,3020
31002,31013,1903
31002,31014,2556
31002,31015,434
31002,31016,134
31002,31017,38
31002,31018,59
31002,31019,15
31002,31020,21
31002,31021,21
31002,31022,26
31002,31023,15
31002,31024,33
31002,31025,175
31002,31026,19
31002,31027,63
31002,31028,28
31002,31029,68
31002,31030,18
31002,31031,99
31002,31032,11
31002,31033,44
31002,31034,35
31002,31035,27
31002,31036,28
31002,31037,39
31002,31038,9
31002,31039,26
31002,31040,9
31002,31041,1219
31002,31042,732
31002,31043,517
31002,31044,197
31002,31045,420
31002,31046,707
31002,31047,592
31002,31048,256
31002,31049,19
31002,31050,19
31002,31051,41
31002,31052,4647
31002,31053,98
31002,31054,20
31002,31055,484
31002,31056,161
31002,31057,289
31002,31058,4
31002,31059,128
31002,31060,653
31002,31061,41
31002,31062,585
31002,31063,143
31002,31064,1858
31002,31065,13
31002,31066,158
31002,31067,50
31002,31068,26
31002,31069,36
31002,31070,39
31002,31071,2252
31002,31072,49
31002,31073,50
31002,31074,20
31002,31075,58
31002,31076,179
31002,31077,553
31002,31078,7
31002,31079,24
31002,31080,114
31002,31081,64
31002,31082,60
31002,31083,380
31002,31084,131
31002,31085,362
31002,31086,232
31002,31087,309
31002,31088,714
31002,31089,101
31002,31090,1071
31002,31091,777
31002,31092,6
31002,31093,26
31002,31094,7
31002,31095,112
31002,31096,13
31002,31097,238
31002,31098,290
31002,31099,89
31002,31100,44
31002,31101,150
31002,31102,43
31002,31103,183
31002,31104,18
31002,31105,69
31002,31106,40
31002,31107,57
31002,31108,393
31002,31109,16
31002,31110,48
31002,31111,14
31002,31112,82
31002,31113,107
31002,31114,21
31002,31115,6
31002,31116,58
31002,31117,24
31002,31118,6
31002,31119,23
31002,31120,2
31002,31121,14
31002,31122,2
31002,31123,5
31002,31124,13
31002,31125,128
31002,31127,17
31002,31128,72
31002,31129,104
31002,31132,3
31002,31200,130
31002,31201,134
31002,31202,40
31002,31203,54
31002,31204,43
31002,31205,110
31002,31206,75
31002,31207,4
31002,31208,89
31002,31209,86
31002,31211,252
31002,31212,84
31002,31213,105
31002,31214,200
31002,31215,395
31002,31216,147
31002,31217,742
31002,31218,277
31002,31219,319
31002,31220,210
31002,31221,45
31002,31222,541
31002,31223,24
31002,31224,28
31002,31225,520
31002,31226,57
31002,31227,498
31002,31228,83
31002,31229,168
31002,31230,292
31002,31231,523
31002,31232,326
31002,31233,141
