short_name,name,lat,lon,tripcount,roundtrips
31000,Eads St & 15th St S,38.858971,-77.05323,34950,2065
31001,18th & Eads St,38.85748133133024,-77.05307516944863,51129,1977
31002,Crystal Dr & 20th St S,38.856425,-77.049232,116082,4091
31003,Crystal Dr & 15th St S,38.861056,-77.049417,91991,5008
31004,Aurora Hills Cmty Ctr / 18th St & S Hayes St,38.857866,-77.05949,46951,1297
31005,Pentagon City Metro / 12th St & S Hayes St,38.862303,-77.059936,112880,3287
31006,Army Navy Dr & S Joyce St,38.86331354301248,-77.06341624259947,84438,3533
31007,Crystal City Metro / 18th St & S Bell St,38.85778509815245,-77.05169767141342,175021,2691
31008,12th & Army Navy Dr,38.8628935368498,-77.05256615073914,63571,2733
31009,Crystal Dr & 27th St S,38.848466,-77.051514,93161,3029
31010,S Glebe Rd & Potomac Ave,38.8426,-77.0502,82355,3789
31011,Crystal Dr & 23rd St S,38.852929,-77.049723,108168,2719
31012,Clark St & 26th St S,38.850688,-77.05152,43857,622
31100,19th St & Pennsylvania Ave NW,38.9003,-77.0429,205260,2066
31101,14th & V St NW,38.9177645,-77.032096,688302,5101
31102,11th & Kenyon St NW,38.929464,-77.027822,302807,2905
31103,15th & Harvard St NW,38.92612422246211,-77.03542068600655,340683,3277
31104,Adams Mill & Columbia Rd NW,38.922925,-77.042581,477046,4412
31105,14th & Harvard St NW,38.9268,-77.0322,255996,1866
31106,Calvert & Biltmore St NW,38.923203,-77.047637,198364,2906
31107,Lamont & Mt Pleasant NW,38.9319,-77.0388,312736,5052
31108,4th & M St SW,38.876697,-77.0178975,448269,10833
31201,15th & P St NW,38.90980062655191,-77.03442692756653,881614,7859
31202,14th & R St NW,38.913046,-77.032008,506546,4435
31203,14th & Rhode Island Ave NW,38.9086,-77.0323,563289,6446
31204,20th & E St NW,38.8963,-77.045,260846,7847
31205,21st & I St NW,38.90071062547463,-77.04644858837128,373753,5176
31400,Georgia & New Hampshire Ave NW,38.9366839345886,-77.02418088912964,225753,2574
31401,14th St & Spring Rd NW,38.9375,-77.0328,180869,2500
31502,John McCormack Dr & Michigan Ave NE,38.9346,-76.9955,54737,2283
31600,5th & K St NW,38.90304,-77.019027,550537,5298
31601,19th & East Capitol St SE,38.8896,-76.9769,110069,2655
31602,Park Rd & Holmead Pl NW,38.9308,-77.0315,360403,3381
31700,Good Hope & Naylor Rd SE,38.861663,-76.969184,4716,171
31305,Connecticut Ave & Newark St NW / Cleveland Park,38.934267,-77.057979,143104,1835
31702,Randle Circle & Minnesota Ave SE,38.878,-76.9607,3068,314
31703,Minnesota Ave Metro/DOES,38.897063,-76.947446,10149,762
31704,Nannie Helen Burroughs & Minnesota Ave NE,38.901385,-76.941877,4231,499
31801,Anacostia Metro,38.862669,-76.994637,32498,758
31802,Good Hope Rd & MLK Ave SE,38.867373,-76.988039,26826,899
31206,19th & E Street NW,38.8952,-77.0436,108954,1969
31500,4th & W St NE,38.919077,-77.000648,96962,1626
31111,10th & U St NW,38.9172,-77.0259,333136,2735
31207,Georgia Ave and Fairmont St NW,38.9249,-77.0222,90059,1120
31209,1st & N St SE,38.8743,-77.0057,158458,3846
31110,20th St & Florida Ave NW,38.9154,-77.0446,490940,4907
31109,7th & T St NW,38.9155,-77.0222,390182,3320
31013,Eads St & 22nd St S,38.85438051517749,-77.05341160297394,56491,1449
31208,M St & New Jersey Ave SE,38.8763,-77.0037,216909,3847
31200,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,1060638,14013
31603,1st & M St NE,38.905697,-77.005483,570401,9417
31212,New Hampshire Ave & Ward Pl NW,38.90571079190728,-77.0473176240921,483397,7725
31213,17th & K St NW,38.90276,-77.03863,436264,3872
31604,3rd & H St NW,38.899408,-77.015289,248480,2976
31605,3rd & D St SE,38.8851,-77.0023,259154,3406
31606,Potomac & Pennsylvania Ave SE,38.8803,-76.9862,206261,3945
31607,13th & E St SE,38.88291548476762,-76.98790669441223,166091,2558
31214,17th & Corcoran St NW,38.9121,-77.0387,619427,6653
31300,Van Ness Metro / UDC,38.944551,-77.063896,116628,2149
31503,Florida Ave & R St NW,38.9126,-77.0135,285869,2414
31608,8th & Eye St SE / Barracks Row,38.8792,-76.9953,137954,1969
31301,Ward Circle / American University,38.938736,-77.087171,71281,2291
31302,Wisconsin Ave & Newark St NW,38.934881,-77.072755,129664,2361
31329,White House,38.89573441620246,-77.03516159702072,297,4
31402,14th St Heights / 14th & Crittenden St NW,38.947774,-77.032818,40270,687
31804,Anacostia Library,38.865784,-76.9784,10091,310
31805,Pennsylvania & Minnesota Ave SE,38.873057,-76.971015,15751,665
31610,Eastern Market / 7th & North Carolina Ave SE,38.886952,-76.996806,315542,3305
31216,14th St & New York Ave NW,38.899632,-77.031686,257764,3907
31705,Benning Branch Library,38.894,-76.947974,6734,255
31217,USDA / 12th & C St SW,38.88627694506511,-77.02824175357819,304064,12345
31215,Georgetown Harbor / 30th St NW,38.902314,-77.0591415,364270,13363
31501,12th & Newton St NE,38.933668,-76.991016,29815,732
31220,US Dept of State / Virginia Ave & 21st St NW,38.894919,-77.046587,194491,2626
31218,L'Enfant Plaza / 7th & C St SW,38.886266,-77.022241,340544,5620
31219,10th St & Constitution Ave NW,38.893028,-77.026013,373539,8607
31211,Kennedy Center,38.897293,-77.05557,137257,2672
31613,Eastern Market Metro / Pennsylvania Ave & 8th St SE,38.88409514578027,-76.99523448944092,638052,7722
31221,18th & M St NW,38.90506687455313,-77.04177886247635,347144,2704
31303,Tenleytown / Wisconsin Ave & Albemarle St NW,38.947607,-77.079382,119472,1727
31611,13th & H St NE,38.90042673988099,-76.98825001716614,292784,3756
31620,5th & F St NW,38.897222,-77.019347,311858,3340
31222,New York Ave & 15th St NW,38.89903234416315,-77.03335404396057,447368,13715
31223,Convention Center / 7th & M St NW,38.905737,-77.02227,392441,3477
31112,Harvard St & Adams Mill Rd NW,38.927872,-77.043358,88899,3814
31224,18th & L St NW,38.90374145091938,-77.04245209693909,238141,1623
31225,C & O Canal & Wisconsin Ave NW,38.90375,-77.06269,357463,10358
31609,Maine Ave & 7th St SW,38.87869359939696,-77.02305436134338,216432,6083
31612,D St & Maryland Ave NE,38.89484064247075,-76.99591577053069,247073,3159
31226,34th St & Wisconsin Ave NW,38.916442,-77.0682,129320,1504
31227,13th St & New York Ave NW,38.900283,-77.029822,324209,4072
31228,8th & H St NW,38.8997,-77.023086,563229,9064
31504,10th & Monroe St NE,38.932514,-76.992889,65534,1551
31505,Eckington Pl & Q St NE,38.910972,-77.00495,200826,3553
31615,6th & H St NE,38.899972,-76.998347,328837,3493
31616,3rd & H St NE,38.900412,-77.001949,374248,4460
31617,Bladensburg Rd & Benning Rd NE,38.900413,-76.982872,109115,1971
31618,4th & East Capitol St NE,38.889955,-77.000349,308525,5106
31619,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,361629,6331
31701,Branch & Pennsylvania Ave SE,38.8692,-76.9599,4449,197
31622,13th & D St NE,38.894832,-76.987633,263524,3487
31229,New Hampshire Ave & T St NW,38.915544,-77.038252,705149,7608
31230,Metro Center / 12th & G St NW,38.898364,-77.027869,446039,7499
31231,14th & D St NW / Ronald Reagan Building,38.894514,-77.031617,356851,9479
31232,7th & F St NW / National Portrait Gallery,38.89728304853854,-77.02219069004059,489147,8034
31233,17th & K St NW / Farragut Square,38.902061,-77.038322,367629,4339
31234,20th & O St NW / Dupont South,38.908905,-77.04478,354258,3299
31621,4th & D St NW / Judiciary Square,38.895344,-77.016106,172328,1834
31235,19th St & Constitution Ave NW,38.8923,-77.0436,296385,15893
31236,37th & O St NW / Georgetown University,38.90774,-77.071652,270557,7407
31614,11th & H St NE,38.899983,-76.991383,197498,2596
31237,25th St & Pennsylvania Ave NW,38.903827,-77.053485,414660,7800
31623,Columbus Circle / Union Station,38.89696,-77.00493,1185232,8818
31624,North Capitol St & F St NW,38.897446,-77.009888,496742,5237
31266,11th & M St NW,38.9055785,-77.027313,386053,5285
31304,36th & Calvert St NW / Glover Park,38.922581,-77.070334,85655,1241
31238,14th & G St NW,38.898409,-77.032278,336434,6621
31052,Potomac Ave & 35th St S,38.844015,-77.050537,39387,1299
31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,310256,30530
31262,11th & F St NW,38.897857,-77.026975,183711,2273
31260,23rd & E St NW ,38.896104,-77.049882,178071,4104
31014,Lynn St & 19th St North,38.897315,-77.070993,290595,6796
31015,Wilson Blvd & Ft Myer Dr,38.8946,-77.072305,145563,2426
31016,Clarendon Blvd & Pierce St,38.893438,-77.076389,89488,1886
31017,Wilson Blvd & N Uhle St,38.891696,-77.0846,91653,688
31018,Rhodes St & 16th St N,38.892164,-77.079375,46041,909
31706,Fairfax Village,38.86559,-76.952103,4411,226
31261,21st St & Constitution Ave NW,38.892459,-77.046567,155160,5523
31019,Wilson Blvd & N Edgewood St,38.889396070923496,-77.09186241030693,53449,501
31113,Columbia Rd & Belmont St NW,38.920669,-77.04368,222031,2151
31239,Rhode Island & Connecticut Ave NW,38.905995699991145,-77.03980207443237,367535,3186
31241,Thomas Circle,38.9059,-77.0325,631105,9039
31020,Wilson Blvd & N Franklin Rd,38.8904,-77.0889,57454,869
31021,Clarendon Blvd & N Fillmore St,38.8881,-77.09308,64103,792
31022,Clarendon Metro / Wilson Blvd & N Highland St,38.88701007722296,-77.09525674581528,100783,1362
31242,18th St & Pennsylvania Ave NW,38.89968,-77.041539,275788,4943
31243,4th & C St SW,38.88637194054526,-77.01770067214966,421728,12272
31244,4th & E St SW,38.88412,-77.017445,311972,5876
31625,3rd & G St SE,38.881185,-77.001828,200813,2504
31245,7th & R St NW / Shaw Library,38.912719,-77.022155,326999,2482
31404,9th & Upshur St NW,38.9418,-77.0251,107425,1461
31506,1st & Rhode Island Ave NW,38.915417,-77.012289,288391,2934
31115,Columbia Rd & Georgia Ave NW,38.92812111132096,-77.0237946510315,170687,1644
31116,California St & Florida Ave NW,38.917761,-77.04062,346105,2457
31707,Benning Rd & East Capitol St NE / Benning Rd Metro,38.889935,-76.93723,9835,656
31307,3000 Connecticut Ave NW / National Zoo,38.930282,-77.055599,129912,2099
31708,Anacostia Ave & Benning Rd NE / River Terrace ,38.896544,-76.96012,33417,3573
31709, 34th St & Minnesota Ave SE,38.88376108708415,-76.9575278760837,407,39
31246,M St & Pennsylvania Ave NW,38.905126,-77.056887,429098,6331
