short_name,tripcount,roundtrips
31000,36389,2153
31001,50631,1958
31002,117455,4194
31003,93943,5154
31004,47795,1338
31005,115353,3433
31006,86877,3633
31007,176204,2738
31008,63571,2733
31009,94694,3152
31010,83092,3861
31011,109931,2803
31012,43938,644
31100,207526,2139
31101,698442,5253
31102,307388,3012
31103,337515,3238
31104,483397,4516
31105,257252,1887
31106,199830,2972
31107,317218,5181
31108,457189,11089
31201,894038,8120
31202,517728,4584
31203,571759,6625
31204,263487,7969
31205,379137,5318
31400,228647,2640
31401,184124,2551
31502,55310,2286
31600,562270,5596
31601,111554,2717
31602,363866,3493
31700,4813,180
31305,144937,1882
31702,3172,325
31703,10280,771
31704,4379,514
31801,32930,786
31802,27364,926
31206,109386,1986
31500,98699,1696
31111,335186,2759
31207,91119,1158
31209,163979,3987
31110,495653,5044
31109,393015,3366
31013,57498,1493
31208,219742,3933
31200,1070794,14231
31603,581425,9874
31212,492272,8022
31213,441610,3995
31604,252838,3094
31605,262281,3469
31606,209834,4058
31607,167955,2602
31214,627401,6805
31300,117459,2179
31503,290043,2493
31608,140454,2036
31301,71608,2298
31302,130716,2394
31329,456,4
31402,40694,691
31804,10216,316
31805,15742,627
31610,321531,3402
31216,260261,4011
31705,6820,261
31217,306745,12538
31215,368737,13566
31501,30473,746
31220,196670,2677
31218,342549,5686
31219,380632,8766
31211,139099,2754
31613,648498,7899
31221,352389,2835
31303,119540,1738
31611,297443,3883
31620,315833,3412
31222,451985,13854
31223,396402,3537
31112,90714,3991
31224,242833,1741
31225,363595,10520
31609,226035,6341
31612,251607,3283
31226,131754,1558
31227,326692,4138
31228,570653,9255
31504,67074,1610
31505,210974,3729
31615,336974,3709
31616,380296,4564
31617,110379,2009
31618,313527,5279
31619,366131,6475
31701,4558,199
31622,266154,3618
31229,719362,7889
31230,452215,7848
31231,360924,9620
31232,497961,8238
31233,371550,4431
31234,360153,3406
31621,173365,1865
31235,297943,16002
31236,275621,7540
31614,195539,2568
31237,421722,8048
31623,1195708,9021
31624,500264,5334
31266,394297,5464
31304,86764,1279
31238,340263,6725
31052,40428,1372
31240,316521,31206
31262,186575,2361
31260,181078,4218
31014,293080,6952
31015,146020,2456
31016,90347,1899
31017,91854,694
31018,46069,913
31706,4422,229
31261,156772,5612
31019,54391,511
31113,225670,2214
31239,372132,3315
31241,638480,9202
31020,57856,881
31021,64840,814
31022,103173,1431
31242,279203,5064
31243,427808,12591
31244,315903,6115
31625,205188,2604
31245,332323,2568
31404,109143,1518
31506,294573,3043
31115,173355,1731
31116,353478,2547
31707,10120,659
31307,131457,2128
31708,33970,3648
31709,407,39
31246,438165,6562
31626,157804,2390
31806,7509,441
31035,47330,1089
31033,27631,1979
31029,60086,1197
31263,291544,5520
31023,64365,714
31027,41464,1038
31628,351255,6933
31306,99392,2400
31507,64847,564
31024,107722,2334
31025,46508,1353
31026,47173,998
31247,849847,57723
31248,613567,50465
31036,38696,1798
31264,256135,4220
31028,37641,643
31030,70977,1101
31031,56704,1262
31032,21649,453
31037,126971,2889
31034,57872,1144
31249,559389,19967
31803,14670,337
31038,33853,827
31039,77909,1619
31040,39288,565
31508,93127,2120
31250,179571,1482
31251,275006,2549
31252,175271,1842
31253,168186,1189
31041,74106,8187
31042,89952,4872
31043,43099,1436
31044,49718,1574
31254,234440,2982
31045,34118,920
31046,24618,885
31047,112469,1799
31048,66689,1820
31255,233662,3525
31256,260270,4459
31257,373606,4978
31049,37365,1384
31050,30634,630
31051,40365,837
31258,917572,38760
31259,79655,1522
31265,379201,4372
31308,59149,727
31309,23894,673
31627,336431,4123
31053,27063,1162
31054,8241,608
31055,24215,1626
31114,306276,2685
31403,31370,1095
31405,32659,473
31406,65093,920
31407,48061,1853
31056,19978,1918
31057,18214,1458
31058,6199,359
31059,18481,1442
31060,41014,4820
31061,6448,355
32006,13765,668
31312,199047,3093
31062,55741,7687
31310,69303,1050
31267,345634,3426
31117,203716,2507
31629,143488,2515
31509,175134,1744
31630,123887,1711
31631,175634,2151
31510,17522,481
31632,115777,1756
31511,39132,1195
31800,5672,298
31807,13734,406
31512,78778,938
31268,289452,2354
31063,14639,1587
31064,80487,10822
31065,35146,1090
31066,24598,1207
